2025-12-30 22:45:47.490 | INFO | simulation | Launched detached simulation. PID=18044
2025-12-30 22:45:48.479 | INFO | simulation | Run initialized
2025-12-30 22:45:48.479 | INFO | simulation | Run folder: experiments\nifty500_ema_online_1D_risk_parity_weekly_20251230_171547
2025-12-30 22:45:48.479 | INFO | simulation | Config used: experiments\nifty500_ema_online_1D_risk_parity_weekly_20251230_171547\params.yaml
2025-12-30 22:45:48.479 | INFO | simulation | Experiments dir: experiments
2025-12-30 22:45:48.479 | INFO | simulation | Running experiment from config
2025-12-30 22:45:48.483 | INFO | simulation | Runner starting | data.mode=processed | use_gpu=False
2025-12-30 22:46:21.336 | INFO | simulation | Progress: 70% (1627/2324) | date=2021-09-07 00:00:00 nav=37.5652583 opt_status=no_rebalance
2025-12-30 22:46:21.840 | INFO | simulation | Progress: 71% (1651/2324) | date=2021-10-12 00:00:00 nav=39.06205621 opt_status=no_rebalance
2025-12-30 22:46:22.344 | INFO | simulation | Progress: 72% (1674/2324) | date=2021-11-17 00:00:00 nav=39.3311065 opt_status=no_rebalance
2025-12-30 22:46:22.848 | INFO | simulation | Progress: 73% (1697/2324) | date=2021-12-21 00:00:00 nav=34.52760415 opt_status=no_rebalance
2025-12-30 22:46:23.310 | INFO | simulation | Progress: 74% (1720/2324) | date=2022-01-21 00:00:00 nav=34.92356178 opt_status=no_rebalance
2025-12-30 22:46:23.837 | INFO | simulation | Progress: 75% (1743/2324) | date=2022-02-24 00:00:00 nav=32.75949063 opt_status=no_rebalance
2025-12-30 22:46:24.340 | INFO | simulation | Progress: 76% (1767/2324) | date=2022-04-01 00:00:00 nav=42.39265978 opt_status=no_rebalance
2025-12-30 22:46:24.932 | INFO | simulation | Progress: 77% (1790/2324) | date=2022-05-09 00:00:00 nav=50.84800732 opt_status=ok_ema_online_risk_parity
2025-12-30 22:46:25.333 | INFO | simulation | Progress: 78% (1813/2324) | date=2022-06-09 00:00:00 nav=52.65650538 opt_status=no_rebalance
2025-12-30 22:46:25.849 | INFO | simulation | Progress: 79% (1836/2324) | date=2022-07-12 00:00:00 nav=50.10554895 opt_status=no_rebalance
2025-12-30 22:46:26.435 | INFO | simulation | Progress: 80% (1860/2324) | date=2022-08-17 00:00:00 nav=51.95570484 opt_status=no_rebalance
2025-12-30 22:46:26.991 | INFO | simulation | Progress: 81% (1883/2324) | date=2022-09-20 00:00:00 nav=53.84906934 opt_status=no_rebalance
2025-12-30 22:46:27.565 | INFO | simulation | Progress: 82% (1906/2324) | date=2022-10-25 00:00:00 nav=53.21818141 opt_status=ok_ema_online_risk_parity
2025-12-30 22:46:28.122 | INFO | simulation | Progress: 83% (1929/2324) | date=2022-11-29 00:00:00 nav=50.70646058 opt_status=no_rebalance
2025-12-30 22:46:28.667 | INFO | simulation | Progress: 84% (1953/2324) | date=2023-01-02 00:00:00 nav=50.65209453 opt_status=ok_ema_online_risk_parity
2025-12-30 22:46:29.116 | INFO | simulation | Progress: 85% (1976/2324) | date=2023-02-03 00:00:00 nav=50.28057777 opt_status=no_rebalance
2025-12-30 22:46:29.646 | INFO | simulation | Progress: 86% (1999/2324) | date=2023-03-09 00:00:00 nav=50.52588862 opt_status=no_rebalance
2025-12-30 22:46:30.282 | INFO | simulation | Progress: 87% (2022/2324) | date=2023-04-17 00:00:00 nav=51.96282984 opt_status=ok_ema_online_risk_parity
2025-12-30 22:46:30.808 | INFO | simulation | Progress: 88% (2046/2324) | date=2023-05-22 00:00:00 nav=55.27989481 opt_status=ok_ema_online_risk_parity
2025-12-30 22:46:31.234 | INFO | simulation | Progress: 89% (2069/2324) | date=2023-06-22 00:00:00 nav=62.39874829 opt_status=no_rebalance
2025-12-30 22:46:31.754 | INFO | simulation | Progress: 90% (2092/2324) | date=2023-07-26 00:00:00 nav=70.71660102 opt_status=no_rebalance
2025-12-30 22:46:32.294 | INFO | simulation | Progress: 91% (2115/2324) | date=2023-08-29 00:00:00 nav=72.87951251 opt_status=no_rebalance
2025-12-30 22:46:32.845 | INFO | simulation | Progress: 92% (2139/2324) | date=2023-10-04 00:00:00 nav=71.66527868 opt_status=no_rebalance
2025-12-30 22:46:33.385 | INFO | simulation | Progress: 93% (2162/2324) | date=2023-11-07 00:00:00 nav=70.80609482 opt_status=no_rebalance
2025-12-30 22:46:33.912 | INFO | simulation | Progress: 94% (2185/2324) | date=2023-12-12 00:00:00 nav=83.82916363 opt_status=no_rebalance
2025-12-30 22:46:34.449 | INFO | simulation | Progress: 95% (2208/2324) | date=2024-01-15 00:00:00 nav=93.26548352 opt_status=ok_ema_online_risk_parity
2025-12-30 22:46:34.968 | INFO | simulation | Progress: 96% (2232/2324) | date=2024-02-19 00:00:00 nav=123.07734189 opt_status=ok_ema_online_risk_parity
2025-12-30 22:46:35.393 | INFO | simulation | Progress: 97% (2255/2324) | date=2024-03-21 00:00:00 nav=106.54320838 opt_status=no_rebalance
2025-12-30 22:46:35.997 | INFO | simulation | Progress: 98% (2278/2324) | date=2024-04-29 00:00:00 nav=112.49673505 opt_status=ok_ema_online_risk_parity
2025-12-30 22:46:36.412 | INFO | simulation | Progress: 99% (2301/2324) | date=2024-05-31 00:00:00 nav=128.8477287 opt_status=no_rebalance
2025-12-30 22:46:36.938 | INFO | simulation | Progress: 100% (2324/2324) | date=2024-07-04 00:00:00 nav=157.65794651 opt_status=no_rebalance
2025-12-30 22:46:37.205 | INFO | simulation | Experiment saved to: experiments\nifty500_ema_online_1D_risk_parity_weekly_20251230_171547
2025-12-30 22:46:37.265 | INFO | simulation | Saved performance artifacts to experiments\nifty500_ema_online_1D_risk_parity_weekly_20251230_171547\outputs\performance
2025-12-30 22:46:39.110 | INFO | simulation | Saved figures to: experiments\nifty500_ema_online_1D_risk_parity_weekly_20251230_171547\artifacts\figures
2025-12-30 22:46:39.110 | INFO | simulation | Run complete
