,n_non_na,frac_non_na,n_points_total,diag
RELIANCE,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 3, ""rows_original"": 903474, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
SBIN,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 903518, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 1125, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
SHREECEM,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 0, ""rows_original"": 903392, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 8, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
SHRIRAMFIN,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 903515, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
SIEMENS,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 3, ""rows_original"": 903517, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
SUNPHARMA,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 0, ""rows_original"": 903513, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
TATACONSUM,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 903516, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
TATAMOTORS,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 3, ""rows_original"": 903514, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
TATAPOWER,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903518, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
TCS,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 903518, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 375, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
TVSMOTOR,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 903513, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
