2025-12-31 08:12:00.852 | INFO | simulation | Launched detached simulation. PID=2860
2025-12-31 08:12:01.988 | INFO | simulation | Run initialized
2025-12-31 08:12:01.989 | INFO | simulation | Run folder: experiments\nifty500_ema_online_1D_greedy_weekly_20251231_024200
2025-12-31 08:12:01.989 | INFO | simulation | Config used: experiments\nifty500_ema_online_1D_greedy_weekly_20251231_024200\params.yaml
2025-12-31 08:12:01.989 | INFO | simulation | Experiments dir: experiments
2025-12-31 08:12:01.989 | INFO | simulation | Running experiment from config
2025-12-31 08:12:01.994 | INFO | simulation | Runner starting | data.mode=processed | use_gpu=False
2025-12-31 08:12:33.410 | INFO | simulation | Progress: 46% (1184/2572) | date=2019-11-27 00:00:00 nav=6.06165873 opt_status=no_rebalance
2025-12-31 08:12:34.121 | INFO | simulation | Progress: 47% (1209/2572) | date=2020-01-02 00:00:00 nav=6.48974664 opt_status=no_rebalance
2025-12-31 08:12:34.756 | INFO | simulation | Progress: 48% (1235/2572) | date=2020-02-06 00:00:00 nav=6.75773231 opt_status=no_rebalance
2025-12-31 08:12:35.540 | INFO | simulation | Progress: 49% (1261/2572) | date=2020-03-17 00:00:00 nav=8.24246897 opt_status=no_rebalance
2025-12-31 08:12:36.360 | INFO | simulation | Progress: 50% (1286/2572) | date=2020-04-27 00:00:00 nav=12.59134805 opt_status=ok_ema_online_mv_reg
2025-12-31 08:12:37.018 | INFO | simulation | Progress: 51% (1312/2572) | date=2020-06-04 00:00:00 nav=18.65771542 opt_status=no_rebalance
2025-12-31 08:12:37.673 | INFO | simulation | Progress: 52% (1338/2572) | date=2020-07-10 00:00:00 nav=31.28074328 opt_status=no_rebalance
2025-12-31 08:12:38.438 | INFO | simulation | Progress: 53% (1364/2572) | date=2020-08-17 00:00:00 nav=34.53998897 opt_status=ok_ema_online_mv_reg
2025-12-31 08:12:39.074 | INFO | simulation | Progress: 54% (1389/2572) | date=2020-09-21 00:00:00 nav=34.27348042 opt_status=ok_ema_online_mv_reg
2025-12-31 08:12:39.751 | INFO | simulation | Progress: 55% (1415/2572) | date=2020-10-28 00:00:00 nav=35.56381532 opt_status=no_rebalance
2025-12-31 08:12:40.591 | INFO | simulation | Progress: 56% (1441/2572) | date=2020-12-07 00:00:00 nav=49.28843842 opt_status=ok_ema_online_mv_reg
2025-12-31 08:12:41.265 | INFO | simulation | Progress: 57% (1467/2572) | date=2021-01-13 00:00:00 nav=45.07766934 opt_status=no_rebalance
2025-12-31 08:12:42.033 | INFO | simulation | Progress: 58% (1492/2572) | date=2021-02-18 00:00:00 nav=44.93441881 opt_status=no_rebalance
2025-12-31 08:12:42.816 | INFO | simulation | Progress: 59% (1518/2572) | date=2021-03-30 00:00:00 nav=42.40741593 opt_status=ok_ema_online_mv_reg
2025-12-31 08:12:43.681 | INFO | simulation | Progress: 60% (1544/2572) | date=2021-05-10 00:00:00 nav=50.99439953 opt_status=ok_ema_online_mv_reg
2025-12-31 08:12:44.456 | INFO | simulation | Progress: 61% (1569/2572) | date=2021-06-15 00:00:00 nav=63.98695702 opt_status=no_rebalance
2025-12-31 08:12:45.104 | INFO | simulation | Progress: 62% (1595/2572) | date=2021-07-22 00:00:00 nav=85.99161078 opt_status=no_rebalance
2025-12-31 08:12:45.899 | INFO | simulation | Progress: 63% (1621/2572) | date=2021-08-30 00:00:00 nav=77.98766046 opt_status=ok_ema_online_mv_reg
2025-12-31 08:12:46.577 | INFO | simulation | Progress: 64% (1647/2572) | date=2021-10-06 00:00:00 nav=90.01188729 opt_status=no_rebalance
2025-12-31 08:12:47.601 | INFO | simulation | Progress: 65% (1672/2572) | date=2021-11-15 00:00:00 nav=105.18047874 opt_status=ok_ema_online_mv_reg
